,Unnamed: 0,Company name,Date,Ticker,Industry,Country,Temperature Rise Limit,Industry Rating,Laggard,Average,Leader,comprehensiveness - % of company footprint covered by target
10,54,LES VETEMENTS DE SPORT GILDAN INC.,2023-05-25,(GIL),"Industry: Textiles, Apparel & Luxury Goods",Country/Region: Canada,An Implied Temperature Rise of between 2°C and 3.2°C indicates that GILDAN ACTIVEWEAR INC is misaligned with global climate goals and is in line with a business-as-usual scenario.,"Gildan is a leader among 27 companies in the textiles, apparel & luxury goods industry.","Gildan is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE BEHAVIOR, LABOR MANAGEMENT, RAW MATERIAL SOURCING, PRODUCT CARBON FOOTPRINT, ","CORPORATE BEHAVIOR, LABOR MANAGEMENT, RAW MATERIAL SOURCING, PRODUCT CARBON FOOTPRINT, ","CORPORATE GOVERNANCE, CHEMICAL SAFETY, ",15.13%
11,58,M&T BANK CORPORATION,2023-05-25,(MTB),Industry: Banks,Country/Region: United States of America,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that M&T BANK CORPORATION is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,M&T Bank is Average among 197 companies in the banks industry.,"FINANCING ENVIRONMENTAL IMPACT, PRIVACY & DATA SECURITY, ","CORPORATE GOVERNANCE, CONSUMER FINANCIAL PROTECTION, HUMAN CAPITAL DEVELOPMENT, ACCESS TO FINANCE, ","CORPORATE BEHAVIOR, ",
12,75,INSURANCE AUSTRALIA GROUP LIMITED,2023-05-25,(IAG),Industry: Property & Casualty Insurance,Country/Region: Australia,An Implied Temperature Rise of below 1.5°C indicates that INSURANCE AUSTRALIA GROUP LIMITED is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.,IAG is a leader among 28 companies in the property & casualty insurance industry.,"CORPORATE BEHAVIOR, PRIVACY & DATA SECURITY, ","HUMAN CAPITAL DEVELOPMENT, ","CORPORATE GOVERNANCE, CLIMATE CHANGE VULNERABILITY, RESPONSIBLE INVESTMENT, ",2.19%
13,76,NATIONAL AUSTRALIA BANK LIMITED,2023-05-25,(NAB),Industry: Banks,Country/Region: Australia,An Implied Temperature Rise of between 2°C and 3.2°C indicates that NATIONAL AUSTRALIA BANK LIMITED is misaligned with global climate goals and is in line with a business-as-usual scenario.,NAB is Average among 197 companies in the banks industry.,"CONSUMER FINANCIAL PROTECTION, HUMAN CAPITAL DEVELOPMENT, ","CORPORATE BEHAVIOR, ACCESS TO FINANCE, PRIVACY & DATA SECURITY, ","CORPORATE GOVERNANCE, FINANCING ENVIRONMENTAL IMPACT, ",0.57%
14,77,COMMONWEALTH BANK OF AUSTRALIA,2023-05-25,(CBA),Industry: Banks,Country/Region: Australia,An Implied Temperature Rise of below 1.5°C indicates that COMMONWEALTH BANK OF AUSTRALIA is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.,CBA is Average among 197 companies in the banks industry.,"CONSUMER FINANCIAL PROTECTION, HUMAN CAPITAL DEVELOPMENT, ","ACCESS TO FINANCE, PRIVACY & DATA SECURITY, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, FINANCING ENVIRONMENTAL IMPACT, ",100.0%
15,78,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,2023-05-25,(SPK),Industry: Telecommunication Services,Country/Region: New Zealand,An Implied Temperature Rise of below 1.5°C indicates that SPARK NEW ZEALAND LIMITED is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.,Spark NZ is a leader among 67 companies in the telecommunication services industry.,"PRIVACY & DATA SECURITY, ","CORPORATE BEHAVIOR, LABOR MANAGEMENT, CARBON EMISSIONS, ","CORPORATE GOVERNANCE, ",100.0%
16,175,ISUZU MOTORS LIMITED,2023-05-25,(7202),Industry: Automobiles,Country/Region: Japan,An Implied Temperature Rise of between 2°C and 3.2°C indicates that ISUZU MOTORS LIMITED is misaligned with global climate goals and is in line with a business-as-usual scenario.,Isuzu is Average among 43 companies in the automobiles industry.,"PRODUCT CARBON FOOTPRINT, OPPORTUNITIES IN CLEAN TECH, ","PRODUCT SAFETY & QUALITY, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, LABOR MANAGEMENT, ",100.0%
17,178,"VENTAS, INC.",2023-05-25,(VTR),Industry: Real Estate Management & Services,Country/Region: United States of America,"An Implied Temperature Rise of below 1.5°C indicates that VENTAS, INC. is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.",Ventas is Average among 80 companies in the real estate management & services industry.,"HUMAN CAPITAL DEVELOPMENT, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, OPPORTUNITIES IN GREEN BUILDING, ","Ventas is not a leader on any of the Key Issues that we evaluated for its industry., ",100.0%
18,183,REECE LIMITED,2023-05-25,(REH),Industry: Trading Companies & Distributors,Country/Region: Australia,An Implied Temperature Rise of between 2°C and 3.2°C indicates that REECE LIMITED is misaligned with global climate goals and is in line with a business-as-usual scenario.,Reece is Average among 25 companies in the trading companies & distributors industry.,"OPPORTUNITIES IN CLEAN TECH, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, LABOR MANAGEMENT, ","Reece is not a leader on any of the Key Issues that we evaluated for its industry., ",
19,186,"FRANKLIN RESOURCES, INC.",2023-05-25,(BEN),Industry: Asset Management & Custody Banks,Country/Region: United States of America,"An Implied Temperature Rise of below 1.5°C indicates that FRANKLIN RESOURCES, INC. is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.",Franklin Resources is Average among 30 companies in the asset management & custody banks industry.,"CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, ","CORPORATE GOVERNANCE, PRIVACY & DATA SECURITY, CARBON EMISSIONS, ","RESPONSIBLE INVESTMENT, ",100.0%
20,187,Mercedes-Benz Group AG,2023-05-25,(MBG),Industry: Automobiles,Country/Region: Germany,An Implied Temperature Rise of between 2°C and 3.2°C indicates that Mercedes-Benz Group AG is misaligned with global climate goals and is in line with a business-as-usual scenario.,Mercedes-Benz is Average among 43 companies in the automobiles industry.,"Mercedes-Benz is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, PRODUCT CARBON FOOTPRINT, LABOR MANAGEMENT, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, PRODUCT CARBON FOOTPRINT, LABOR MANAGEMENT, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE GOVERNANCE, ",34.96%
21,188,RECKITT BENCKISER GROUP PLC,2023-05-25,(RKT),Industry: Household & Personal Products,Country/Region: United Kingdom,An Implied Temperature Rise of below 1.5°C indicates that RECKITT BENCKISER GROUP PLC is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.,RB is a leader among 30 companies in the household & personal products industry.,"CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, CHEMICAL SAFETY, OPPORTUNITIES IN NUTRITION & HEALTH, ","RAW MATERIAL SOURCING, ","CORPORATE GOVERNANCE, PACKAGING MATERIAL & WASTE, PRODUCT CARBON FOOTPRINT, ",100.0%
22,189,"BENTLEY SYSTEMS, INCORPORATED",2023-05-25,(BSY),Industry: Software & Services,Country/Region: United States of America,"An Implied Temperature Rise of below 1.5°C indicates that BENTLEY SYSTEMS, INCORPORATED is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.",Bentley Systems is Average among 109 companies in the software & services industry.,"CORPORATE GOVERNANCE, ","CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, PRIVACY & DATA SECURITY, OPPORTUNITIES IN CLEAN TECH, CARBON EMISSIONS, ","Bentley Systems is not a leader on any of the Key Issues that we evaluated for its industry., ",
23,202,SIME DARBY PLANTATION BERHAD,2023-05-25,(SIMEPLT),Industry: Food Products,Country/Region: Malaysia,An Implied Temperature Rise of above 3.2°C indicates that SIME DARBY PLANTATION BERHAD is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,SDP is Average among 81 companies in the food products industry.,"CARBON EMISSIONS, ","BIODIVERSITY & LAND USE, WATER STRESS, COMMUNITY RELATIONS, SUPPLY CHAIN LABOR STANDARDS, HEALTH & SAFETY, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, ",
24,203,"META PLATFORMS, INC.",2023-05-25,(META),Industry: Interactive Media & Services,Country/Region: United States of America,"An Implied Temperature Rise of below 1.5°C indicates that META PLATFORMS, INC. is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.",Meta Platforms is a laggard among 23 companies in the interactive media & services industry.,"CORPORATE BEHAVIOR, PRIVACY & DATA SECURITY, HUMAN CAPITAL DEVELOPMENT, ","CORPORATE GOVERNANCE, CARBON EMISSIONS, ","Meta Platforms is not a leader on any of the Key Issues that we evaluated for its industry., ",100.0%
25,204,Formosa Plastics Corporation,2023-05-25,(1301),Industry: Commodity Chemicals,Country/Region: Taiwan,An Implied Temperature Rise of between 2°C and 3.2°C indicates that Formosa Plastics Corporation is misaligned with global climate goals and is in line with a business-as-usual scenario.,Formosa Plastics is a laggard among 65 companies in the commodity chemicals industry.,"CORPORATE GOVERNANCE, ","CORPORATE BEHAVIOR, CARBON EMISSIONS, TOXIC EMISSIONS & WASTE, WATER STRESS, CHEMICAL SAFETY, OPPORTUNITIES IN CLEAN TECH, ","Formosa Plastics is not a leader on any of the Key Issues that we evaluated for its industry., ",100.0%
26,205,ST. JAMES'S PLACE PLC,2023-05-25,(STJ),Industry: Asset Management & Custody Banks,Country/Region: United Kingdom,"Implied Temperature Rise from MSCI ESG Research is an intuitive, forward-looking metric, expressed in degrees Celsius, designed to show the temperature alignment of companies with global temperature goals.(1)",St. James's Place is a leader among 30 companies in the asset management & custody banks industry.,"HUMAN CAPITAL DEVELOPMENT, ","RESPONSIBLE INVESTMENT, PRIVACY & DATA SECURITY, CARBON EMISSIONS, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, ",
27,206,NAN YA PLASTICS CORPORATION,2023-05-25,(1303),Industry: Commodity Chemicals,Country/Region: Taiwan,An Implied Temperature Rise of above 3.2°C indicates that NAN YA PLASTICS CORPORATION is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,Nan Ya Plastics is Average among 65 companies in the commodity chemicals industry.,"CORPORATE GOVERNANCE, ","CORPORATE BEHAVIOR, OPPORTUNITIES IN CLEAN TECH, ","CARBON EMISSIONS, TOXIC EMISSIONS & WASTE, WATER STRESS, CHEMICAL SAFETY, ",53.7%
28,207,"HANGZHOU OXYGEN PLANT GROUP CO., LTD.",2023-05-25,(002430),Industry: Specialty Chemicals,Country/Region: China,"An Implied Temperature Rise of above 3.2°C indicates that HANGZHOU OXYGEN PLANT GROUP CO., LTD. is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.",Hangzhou Oxygen is a laggard among 70 companies in the specialty chemicals industry.,"CORPORATE BEHAVIOR, CARBON EMISSIONS, WATER STRESS, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE GOVERNANCE, TOXIC EMISSIONS & WASTE, HEALTH & SAFETY, ","Hangzhou Oxygen is not a leader on any of the Key Issues that we evaluated for its industry., ",
29,208,FONDS DE PLACEMENT IMMOBILIER D'IMMEUBLES RESIDENTIELS CANADIEN,2023-05-25,(CHILE),Industry: Banks,Country/Region: Chile,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that Banco de Chile is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Banco de Chile is Average among 198 companies in the banks industry.,"CORPORATE GOVERNANCE, ","CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, FINANCING ENVIRONMENTAL IMPACT, ACCESS TO FINANCE, ","CONSUMER FINANCIAL PROTECTION, PRIVACY & DATA SECURITY, ",
30,209,IMPALA PLATINUM HOLDINGS LIMITED,2023-05-25,(IMP),Industry: Metals and Mining - Precious Metals,Country/Region: South Africa,An Implied Temperature Rise of above 3.2°C indicates that IMPALA PLATINUM HOLDINGS LIMITED is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,Implats is Average among 23 companies in the metals and mining - precious metals industry.,"LABOR MANAGEMENT, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HEALTH & SAFETY, WATER STRESS, ","TOXIC EMISSIONS & WASTE, BIODIVERSITY & LAND USE, COMMUNITY RELATIONS, ",10.77%
31,210,Northam Platinum Holdings Limited,2023-05-25,(NPH),Industry: Metals and Mining - Precious Metals,Country/Region: South Africa,An Implied Temperature Rise of above 3.2°C indicates that Northam Platinum Holdings Limited is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,Northam Holdings is Average among 23 companies in the metals and mining - precious metals industry.,"TOXIC EMISSIONS & WASTE, BIODIVERSITY & LAND USE, ","CORPORATE BEHAVIOR, HEALTH & SAFETY, COMMUNITY RELATIONS, LABOR MANAGEMENT, WATER STRESS, ","CORPORATE GOVERNANCE, ",
32,211,Anglo American Platinum Limited,2023-05-25,(AMS),Industry: Metals and Mining - Precious Metals,Country/Region: South Africa,An Implied Temperature Rise of above 3.2°C indicates that Anglo American Platinum Limited is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,Amplats is Average among 23 companies in the metals and mining - precious metals industry.,"CORPORATE GOVERNANCE, ","CORPORATE BEHAVIOR, BIODIVERSITY & LAND USE, LABOR MANAGEMENT, WATER STRESS, ","TOXIC EMISSIONS & WASTE, HEALTH & SAFETY, COMMUNITY RELATIONS, ",9.32%
33,252,"STANLEY BLACK & DECKER, INC.",2023-05-25,(SWK),Industry: Industrial Machinery,Country/Region: United States of America,"An Implied Temperature Rise of between 2°C and 3.2°C indicates that STANLEY BLACK & DECKER, INC. is misaligned with global climate goals and is in line with a business-as-usual scenario.",SBD is Average among 46 companies in the industrial machinery industry.,"SBD is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, LABOR MANAGEMENT, OPPORTUNITIES IN CLEAN TECH, TOXIC EMISSIONS & WASTE, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, LABOR MANAGEMENT, OPPORTUNITIES IN CLEAN TECH, TOXIC EMISSIONS & WASTE, ","SBD is not a leader on any of the Key Issues that we evaluated for its industry., ",
34,279,"GEM Co., Ltd.",2023-05-25,(002340),Industry: Specialty Chemicals,Country/Region: China,"An Implied Temperature Rise of above 3.2°C indicates that GEM Co., Ltd. is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.",GEM is Average among 70 companies in the specialty chemicals industry.,"CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, BIODIVERSITY & LAND USE, ","CARBON EMISSIONS, TOXIC EMISSIONS & WASTE, WATER STRESS, CHEMICAL SAFETY, ","OPPORTUNITIES IN CLEAN TECH, ",
35,280,Gemdale Corporation,2023-05-25,(600383),Industry: Real Estate Development & Diversified Activities,Country/Region: China,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that Gemdale Corporation is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Gemdale is Average among 55 companies in the real estate development & diversified activities industry.,"CORPORATE BEHAVIOR, OPPORTUNITIES IN GREEN BUILDING, HEALTH & SAFETY, ","CORPORATE GOVERNANCE, PRODUCT SAFETY & QUALITY, ","Gemdale is not a leader on any of the Key Issues that we evaluated for its industry., ",
36,283,"NONGFU SPRING CO., LTD.",2023-05-25,(9633),Industry: Beverages,Country/Region: China,"An Implied Temperature Rise of between 2°C and 3.2°C indicates that NONGFU SPRING CO., LTD. is misaligned with global climate goals and is in line with a business-as-usual scenario.",NONGFU SPRING is Average among 52 companies in the beverages industry.,"PRODUCT CARBON FOOTPRINT, ","CORPORATE BEHAVIOR, WATER STRESS, PRODUCT SAFETY & QUALITY, HEALTH & SAFETY, ","CORPORATE GOVERNANCE, PACKAGING MATERIAL & WASTE, OPPORTUNITIES IN NUTRITION & HEALTH, ",
37,284,"Tongling Nonferrous Metals Group Co., Ltd.",2023-05-25,(000630),Industry: Metals and Mining - Non-Precious Metals,Country/Region: China,"An Implied Temperature Rise of between 2°C and 3.2°C indicates that Tongling Nonferrous Metals Group Co., Ltd. is misaligned with global climate goals and is in line with a business-as-usual scenario.",Tongling Nonferrous is a laggard among 72 companies in the metals and mining - non-precious metals industry.,"CORPORATE BEHAVIOR, BIODIVERSITY & LAND USE, COMMUNITY RELATIONS, ","CORPORATE GOVERNANCE, HEALTH & SAFETY, CARBON EMISSIONS, WATER STRESS, LABOR MANAGEMENT, ","TOXIC EMISSIONS & WASTE, ",
38,291,EIFFAGE SA,2023-05-25,(FGR),Industry: Construction & Engineering,Country/Region: France,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that EIFFAGE SA is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Eiffage is a leader among 28 companies in the construction & engineering industry.,"Eiffage is not a laggard on any of the Key Issues that we evaluated for its industry., HEALTH & SAFETY, OPPORTUNITIES IN CLEAN TECH, ","HEALTH & SAFETY, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, ",7.5%
39,295,Rheinmetall Aktiengesellschaft,2023-05-25,(RHM),Industry: Aerospace & Defense,Country/Region: Germany,An Implied Temperature Rise of above 3.2°C indicates that Rheinmetall Aktiengesellschaft is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,Rheinmetall is a leader among 34 companies in the aerospace & defense industry.,"Rheinmetall is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, LABOR MANAGEMENT, PRODUCT SAFETY & QUALITY, ","CORPORATE GOVERNANCE, LABOR MANAGEMENT, PRODUCT SAFETY & QUALITY, ","CORPORATE BEHAVIOR, OPPORTUNITIES IN CLEAN TECH, ",
40,316,EMERA INCORPORATED,2023-05-25,(EMA),Industry: Utilities,Country/Region: Canada,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that EMERA INCORPORATED is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Emera is a leader among 138 companies in the utilities industry.,"CARBON EMISSIONS, OPPORTUNITIES IN RENEWABLE ENERGY, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, TOXIC EMISSIONS & WASTE, ","WATER STRESS, HUMAN CAPITAL DEVELOPMENT, ",100.0%
41,317,EMERSON ELECTRIC CO.,2023-05-25,(EMR),Industry: Electrical Equipment,Country/Region: United States of America,An Implied Temperature Rise of below 1.5°C indicates that EMERSON ELECTRIC CO. is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.,Emerson is Average among 55 companies in the electrical equipment industry.,"Emerson is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, OPPORTUNITIES IN CLEAN TECH, TOXIC EMISSIONS & WASTE, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, OPPORTUNITIES IN CLEAN TECH, TOXIC EMISSIONS & WASTE, ","LABOR MANAGEMENT, ",100.0%
42,320,WAN HAI LINES LTD.,2023-05-25,(2615),Industry: Marine Transport,Country/Region: Taiwan,An Implied Temperature Rise of between 2°C and 3.2°C indicates that WAN HAI LINES LTD. is misaligned with global climate goals and is in line with a business-as-usual scenario.,Wan Hai Lines is Average among 14 companies in the marine transport industry.,"HEALTH & SAFETY, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, TOXIC EMISSIONS & WASTE, CARBON EMISSIONS, ","Wan Hai Lines is not a leader on any of the Key Issues that we evaluated for its industry., ",
43,321,WANT WANT CHINA HOLDINGS LIMITED,2023-05-25,(151),Industry: Food Products,Country/Region: China,An Implied Temperature Rise of above 3.2°C indicates that WANT WANT CHINA HOLDINGS LIMITED is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,Want Want is Average among 81 companies in the food products industry.,"RAW MATERIAL SOURCING, PRODUCT CARBON FOOTPRINT, ","CORPORATE GOVERNANCE, PRODUCT SAFETY & QUALITY, OPPORTUNITIES IN NUTRITION & HEALTH, WATER STRESS, PACKAGING MATERIAL & WASTE, ","CORPORATE BEHAVIOR, ",
44,322,"Wanhua Chemical Group Co., Ltd.",2023-05-25,(600309),Industry: Specialty Chemicals,Country/Region: China,"An Implied Temperature Rise of above 3.2°C indicates that Wanhua Chemical Group Co., Ltd. is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.",WCG is a laggard among 70 companies in the specialty chemicals industry.,"CORPORATE GOVERNANCE, CARBON EMISSIONS, CHEMICAL SAFETY, ","CORPORATE BEHAVIOR, TOXIC EMISSIONS & WASTE, WATER STRESS, OPPORTUNITIES IN CLEAN TECH, ","WCG is not a leader on any of the Key Issues that we evaluated for its industry., ",
45,323,Beijing Wantai Biological Pharmacy Enterprise Co Ltd,2023-05-25,(603392),Industry: Biotechnology,Country/Region: China,An Implied Temperature Rise of below 1.5°C indicates that Beijing Wantai Biological Pharmacy Enterprise Co Ltd is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.,Beijing Wantai is a laggard among 40 companies in the biotechnology industry.,"CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, TOXIC EMISSIONS & WASTE, ","CORPORATE GOVERNANCE, ACCESS TO HEALTH CARE, PRODUCT SAFETY & QUALITY, ","Beijing Wantai is not a leader on any of the Key Issues that we evaluated for its industry., ",
