Title,Pages,Posted,Author,Date Written,University,Downloads,Abstract Views,Rank,Citation,Refrences,Abstract,Keywords,Citation Links,Download Link,Online PDF Link,Url,Related Journals,Related Journals Link,JEL Classification,Readers,Exports Save,News Mentions,"Share, Likes and comments",Tweets
"Boys Will Be Boys: Gender, Overconfidence, and Common Stock Investment",39 Pages,Posted: 12 Nov 1998,Brad M. BarberTerrance OdeanSanford J. GrossmanTerrance OdeanBrad M. BarberTerrance OdeanTerrance OdeanTerrance OdeanBrad M. BarberTerrance OdeanBrad M. BarberTerrance OdeanSimon GervaisTerrance OdeanMark GrinblattMatti KeloharjuKent D. DanielDavid A. Hirshleifer,"
		
		
			
		
		

		
		
		
		
	
		
	Date Written: November 1998 G1
		
		
	","University of California, DavisUniversity of California, Berkeley - Haas School of Business",2991.0,19861.0,4900.0,"
		
			Barber,  Brad M. and Odean,  Terrance, Boys Will Be Boys: Gender, Overconfidence, and Common Stock Investment (November 1998).  Available at SSRN:  or 
		
	",62.0,"Theoretical models of financial markets built on the assumption that some investors are overconfident yield one central prediction: overconfident investors will trade too much. We test this prediction by partitioning investors on the basis of a variable that provides a natural proxy for overconfidence--gender. Psychological research has established that men are more prone to overconfidence than women. Thus, models of investor overconfidence predict that men will trade more and perform worse than women. Using account data for over 35,000 households from a large discount brokerage firm, we analyze the common stock investments of men and women from February 1991 through January 1997. Consistent with the predictions of the overconfidence models, we document that men trade 45 percent more than women and earn annual risk-adjusted net returns that are 1.4 percent less than those earned by women. These differences are more pronounced between single men and single women; single men trade 67 percent more than single women and earn annual risk-adjusted net returns that are 2.3 percent less than those earned by single women. ",,https://ssrn.com/abstract=139415http://dx.doi.org/10.2139/ssrn.139415 ,Delivery.cfm/98110615.pdf?abstractid=139415&mirid=1,Delivery.cfm/98110615.pdf?abstractid=139415&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=139415,"Behavioral & Experimental Finance eJournal,Capital Markets: Market Efficiency eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1504395,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1504403", G1,67,23,4,0,15
An Economic Analysis of the Consumer Bankruptcy Crisis,81 Pages,Posted: 7 Sep 2004,Todd J. ZywickiJeremy BerkowitzMichelle J. WhiteJeremy BerkowitzMichelle J. WhiteWei FanMichelle J. WhiteWei FanMichelle J. WhiteIan DomowitzRobert SartainRichard M. HynesJeremy BerkowitzEmily Y. LinMichelle J. WhiteMichelle J. WhiteHung-jen WangMichelle J. WhiteJohn ArmourDouglas J. Cumming,"
		
		
			
		
		

		
		
		
		
	Date Written: September 2004 Bankruptcy, consumer credit, New Institutional Economics G33, Z13, G20, K00, K19
		
		
	","George Mason University - Antonin Scalia Law School, Faculty; PERC - Property and Environment Research Center",1667.0,16928.0,12669.0,"
		
			Zywicki,  Todd J., An Economic Analysis of the Consumer Bankruptcy Crisis (September 2004). Northwestern University Law Review, Vol. 99, No. 4, pp. 1463-1541, Summer 2005, George Mason Law & Economics Research Paper No. 04-35,  Available at SSRN:  or 
		
	",54.0,"Since the inception of the first permanent American bankruptcy law in 1898, the intellectual and political understanding of consumer bankruptcy has been anchored in a model that views bankruptcies as resulting from household financial distress.  For much of the Twentieth Century, this traditional model provided a plausible explanation of bankruptcy filing patterns and clear normative policy implications.  Moreover, the widespread intellectual and social consensus on the traditional model was reflected in the enactment of the current Bankruptcy Code in 1978, which rests on the intellectual foundation of the traditional model.  To this day, leading bankruptcy scholars adhere to the traditional model and its implications.  Over the past twenty-five years, however, the traditional model has broken down.  During a period of unprecedented prosperity and economic stability, personal bankruptcies have soared, raising fundamental questions about the validity of the traditional model.    
This article argues that there has been an unacknowledged sea-change in the economics of consumer bankruptcy in America.  This article first provides a scientific analysis of the traditional model to determine whether these new trends can be accommodated within the traditional model.  It focuses on the key variables offered by the traditional model as components of household financial distress: first, high levels of household indebtedness, including the influences of credit cards and home mortgages; second, unemployment and downsizing; third, divorce; and fourth, health problems, health care costs, and lack of health insurance.  A scientific analysis of the evidence demonstrates that although these factors can explain part of the background exogenous level of bankruptcies, as well as some regional variation in bankruptcy filing rates, they cannot explain the upward trend in bankruptcy filing rates over the past twenty-five years.  The article then briefly discusses an alternative model of consumer bankruptcy that can explain the increased propensity for consumers to file bankruptcy through an examination of the legal, social, and economic institutions of the consumer bankruptcy system. "," Bankruptcy, consumer credit, New Institutional Economics",https://ssrn.com/abstract=587901http://dx.doi.org/10.2139/ssrn.587901 ,Delivery.cfm/SSRN_ID887020_code170891.pdf?abstractid=587901&mirid=1,Delivery.cfm/SSRN_ID887020_code170891.pdf?abstractid=587901&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=587901,"Antonin Scalia Law School, George Mason University, Law & Economics Research Paper Series,Bankruptcy, Reorganization & Creditors eJournal,Contracts & Commercial Law eJournal,Empirical Studies eJournal,Household Finance eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=192829,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=208,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=140588,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=2123644,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1552954"," G33, Z13, G20, K00, K19",27,37,4,0,12
American Legal Realism,38 Pages,Posted: 29 Oct 2002,Brian LeiterAlan SchwartzAlan SchwartzBrian LeiterGeorge PavlakosAdam ShajnfeldBrian LeiterAnthony J. Connolly,"
		
		
			
		
		

		
		
		
		
	
		
		
	",University of Chicago,17850.0,85874.0,194.0,"
		
			Leiter,  Brian, American Legal Realism. U of Texas Law, Public Law Research Paper No. 42,  Available at SSRN:  or 
		
	",,"This essay sets out the main elements of the revisionary and philosophical interpretation of the jurisprudence of American Legal Realism that I have developed in a series of articles over the last decade.  This reading emphasizes the commitment of all the Realists to a core descriptive claim about adjudication (judges respond primarily to the underlying facts of the cases, rather than to legal rules and reasons); shows how the Realists divide in to two camps over the correct interpretation of this ""core"" claim (the Idiosncyrasy Wing of Frank, and the Sociological Wing of Llewellyn, Oliphant, Moore, Green, and the vast majority of Realists); demonstrates the connection of the Sociological Wing of Realism to the Realist project of law reform, including the work of the American Law Institute; examines and distinguishes the Realist arguments for the indeterminacy of law from Critical Legal Studies arguments; and shows how the Realists lay the foundation for the program of a ""naturalized"" jurisprudence, in opposition to the dominant ""conceptual"" jurisprudence of Anglophone legal philosophy.  The revisionary reading also debunks certain popular myths about Legal Realism, like the following:  the Realists believed ""what the judge ate for breakfast determines the decision""; a critique of the public/private distinction was a central part of Realist jurisprudence; and the Realists were committed to an incoherent form of rule-skepticism. ",,https://ssrn.com/abstract=339562http://dx.doi.org/10.2139/ssrn.339562 ,Delivery.cfm/SSRN_ID339562_code021012630.pdf?abstractid=339562&mirid=1,Delivery.cfm/SSRN_ID339562_code021012630.pdf?abstractid=339562&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=339562,"University of Texas School of Law, Public Law & Legal Theory Research Paper Series,Jurisprudence & Legal Philosophy eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=184028,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1504413",,106,200,4,0,3
Numerical Approximation of the Implied Volatility under Arithmetic Brownian Motion,8 Pages,Posted: 4 Jun 2007,Jaehyuk ChoiKwangmoon KimMinsuk KwakMinqiang Li,"
		
		
			
		
		

		
		
			
		
		
	Date Written: June 1, 2007 implied volatility, arithmetic Brownian motion, ABM, Bachelier, rational approximation, closed form approximation C63, G12
		
		
	","Peking University - HSBC School of BusinessKorea Advanced Institute of Science and Technology (KAIST)Department of Mathematics, Hankuk University of Foreign Studies",1475.0,5032.0,15395.0,"
		
			Choi,  Jaehyuk and Kim,  Kwangmoon and Kwak,  Minsuk, Numerical Approximation of the Implied Volatility under Arithmetic Brownian Motion (June 1, 2007). Applied Mathematical Finance, Vol. 16, No. 3, 2009,  Available at SSRN:  or 
		
	",11.0,We provide an accurate approximation method for inverting an option price to the implied volatility under arithmetic Brownian motion. The maximum error in the volatility is in the order of 1e-10 of the given option price and much smaller for the near-the-money options. Thus our approximation can be used as a near-exact solution without further refinements of iterative methods. ," implied volatility, arithmetic Brownian motion, ABM, Bachelier, rational approximation, closed form approximation",https://ssrn.com/abstract=990747http://dx.doi.org/10.2139/ssrn.990747 ,Delivery.cfm/SSRN_ID990747_code502180.pdf?abstractid=990747&mirid=1,Delivery.cfm/SSRN_ID990747_code502180.pdf?abstractid=990747&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=990747,,," C63, G12",1,4,4,0,2
An Estimate of Average Income and Inequality in Byzantium Around Year 1000An Estimate of Average Income and Inequality in Byzantium Around Year 1000,22 Pages,Posted: 16 Aug 2006,Branko MilanovicBranko MilanovicPeter H. LindertBranko MilanovicWalter ScheidelShirley ChennyPascal St-amourBranko MilanovicWalter Scheidel,"
		
		
			
		
		

		
		
		
		
	
		
	
		
		
	",World Bank - Development Research Group (DECRG); University of Maryland ,27.0,1251.0,,"
		
			Milanovic,  Branko, An Estimate of Average Income and Inequality in Byzantium Around Year 1000. Review of Income and Wealth, Vol. 52, No. 3, pp. 449-470, September 2006,  Available at SSRN:  or 
		
	",30.0,"Using recent economic statistics from the peak period of Byzantine political and economic influence, we estimate the average income around the year 1000 to have been about 6 nomismata per capita per annum. This is then translated into current prices using two independent methods. They both yield an estimate around $PPP 640-680 in 1990 international prices. It is argued that this amount is some 20 percent below an average estimate of Roman incomes at the time of Augustus (around year one). Assuming that most of income differences in Byzantium were due to the differences in average incomes between social classes, we estimate the Gini coefficient to have been in the range between 40 and 45. ",,https://ssrn.com/abstract=924479http://dx.doi.org/10.1111/j.1475-4991.2006.00198.x ,https://www.ssrn.com/index.cfm/en/Announcements-Jobs/,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=924479,Wiley-Blackwell: Review of Income & Wealth,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=306442,,18,23,4,0,2
"The Limits of Article 8(2)(b)(iv) of the Rome Statute, the First Ecocentric Environmental War Crime",40 Pages,Posted: 10 Apr 2007,Kevin Jon HellerJessica C. Lawrence,"
		
		
			
		
		

		
		
		
		
	 war crimes, environmental law, international law, international environmental law, criminal law, mens rea, proportionality, ICC, international criminal court, suppression conventions, wartime environmental damage
		
		
	",University of Copenhagen (Centre for Military Studies); Australian National UniversityUniversity of Essex,1850.0,10382.0,10746.0,"
		
			Heller,  Kevin Jon and Lawrence,  Jessica C., The Limits of Article 8(2)(b)(iv) of the Rome Statute, the First Ecocentric Environmental War Crime. Georgetown International Environmental Law Review (GIELR), Vol. 20, 2007,  Available at SSRN: 
		
	",34.0,"Article 8(2)(b)(iv) of the Rome Statute prohibits [i]ntentionally launching an attack in the knowledge that such attack will cause incidental loss of life or injury to civilians or damage to civilian objects or widespread, long-term and severe damage to the non-human environment which would be clearly excessive in relation to the concrete and direct overall military advantage anticipated.  As the disjunctive or indicates, the Article is ecocentric, not anthropocentric: a clearly excessive attack is a war crime even if the resulting environmental damage harms only the non-human environment; additional harm to human interests is not required.    
Because it is ecocentric, Article 8(2)(b)(iv) represents an important milestone in international law.  Prior to the Vietnam War, military attacks that damaged only the non-human environment were an exclusively domestic concern; international law only prohibited environmentally-destructive attacks that directly threatened human survival.  Since Vietnam, the international community has adopted a number of agreements that prohibit causing environmental damage during wartime even if that damage affects only the non-human environment, but those agreements either impose nothing more than State responsibility for violations or leave the decision to criminalize environmentally-destructive attacks to the States themselves - something they have proven exceedingly reluctant to do.    
Article 8(2)(b)(iv), however, remains a work in progress.  As this essay demonstrates, a number of problems substantially limit the Article's ability to punish wartime environmental damage: its actus reus is excessively vague, particularly the requirement that damage be widespread, long-term, and severe; its proportionality standard is heavily weighted against finding an attack disproportionate; its mens rea is purely subjective, making it nearly impossible to find that a perpetrator knew her attack would be disproportionate; and it does not apply to internal armed conflicts.      
Article (8)(2)(b)(iv)'s limitations have led one prominent scholar to question whether the ICC is an appropriate mechanism for addressing environmental war crimes.  We believe that it is.  Although significant revision is necessary, the Article could be re-drafted to provide real protection against the environmental damage that all too often accompanies war.  The purpose of our essay is thus constructive as well as critical - not only to identify the limitations of Article 8(2)(b)(iv), but also to suggest ways in which those limitations could be addressed. "," war crimes, environmental law, international law, international environmental law, criminal law, mens rea, proportionality, ICC, international criminal court, suppression conventions, wartime environmental damage",https://ssrn.com/abstract=979460,Delivery.cfm/SSRN_ID979652_code366348.pdf?abstractid=979460&mirid=1,Delivery.cfm/SSRN_ID979652_code366348.pdf?abstractid=979460&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=979460,"Public International Law: Sources eJournal,Environmental Law & Policy eJournal,International, Transnational & Comparative Criminal Law eJournal,Law, International Affairs & CSR eJournal,International Environmental Law eJournal,Human Rights & the Corporation eJournal,International Institutions: Courts eJournal,Conflict Studies: Prevention, Management & Resolution eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=2417756,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1432131,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=951682,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=2001670,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1397291,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=2001664,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=2397563,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=2380744",,4,11,4,0,0
The History and Future of Health Care Law: An Essentialist View,19 Pages,Posted: 2 Jun 2006,Mark A. Hall,"
		
		
			
		
		

		
		
			
		
		
	Date Written: 2006
		
		
	",Wake Forest University - School of Law,57.0,1762.0,440135.0,"
		
			Hall,  Mark A., The History and Future of Health Care Law: An Essentialist View (2006). Wake Forest Law Review, Vol. 41, p. 347, 2006, Wake Forest Univ. Legal Studies Paper No. 905889,  Available at SSRN: 
		
	",12.0,"Health law in the U.S. coalesced intellectually and academically roughly 25 years ago as the doctrinal and public policy study of law that applies to the health care industry. Many scholars, are dissatisfied, however, with the state of the field. What existed for centuries as a field defined by physicians' encounters with courts is now defined in essentially the same fashion, only much more broadly, as the judicial, legislative, market, and regulatory systems' encounter with all facets of the health care industry. The field is much richer and more sophisticated than in its origins, but a hodgepodge it still is. Each of the four major branches stands apart from the others and is thought to be dominated by distinct themes.     
For a body of substantive law to emerge as a distinctive field of intellectual inquiry, it must be more than just the assortment of rules that result from applying other bodies of substantive law to a particular economic sector or human activity. Such a field is not intellectually distinctive unless there are one or more attributes of the economic or social enterprise in question that make it uniquely important or difficult in the legal domain. For medicine, surely this is the case.  Medical law is about the delivery of an extremely important, very expensive, and highly specialized professional service delivered in situations of tremendous personal vulnerability. This is what has attracted scholars to the field. For this simple reason, I propose an essentialist view approach: what are the essential features of health care delivery that distinguish its legal issues from those of other related fields.  
Of course, any applied body of law should take some stock of its particular subject matter. But, this need to contextualize is much more compelling in health care law than in many or most other economic and social arenas.  That is why its defining characteristics include the special features of medicine. Under this essentialist approach, when ethics, or law, regards patients, it tends to regard them as patients, rather than as people who happen to be patients. And the same is true for people who are physicians and for services that are medical care. Sometimes, it matters fundamentally, even profoundly, that a legal matter involves physicians caring for patients rather than providers servicing generic consumers. When this is so, general law becomes health care law.  In sum, the core of academic health care law consists of those aspects of law for which the unique features of medicine are central to the analysis or inquiry, rather than medicine simply being an incident of generic law's subject matter. ",,https://ssrn.com/abstract=905889,Delivery.cfm/SSRN_ID2880590_code139012.pdf?abstractid=905889&mirid=1,Delivery.cfm/SSRN_ID2880590_code139012.pdf?abstractid=905889&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=905889,"Legal History eJournal,Public Health Law & Policy eJournal,Health Care Law & Policy eJournal,Law & Society: International & Comparative Law eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=261,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1492479,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1492475,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=912330",,0,4,4,0,0
"Property, Intellectual Property, and Free Riding",Posted: 1 May 2007,,Mark A. Lemley,"
		
		
		

		
		
		
		
	
		
	
		
		
	",Stanford Law School,2083.0,,,"
		
			Lemley,  Mark A., Property, Intellectual Property, and Free Riding. Texas Law Review, Vol. 83, p. 1031, 2005,  Available at SSRN:  or 
		
	",,"Courts and scholars have increasingly assumed that intellectual property is a form of property, and have applied the economic insights of Harold Demsetz and other property theorists to condemn the use of intellectual property by others as free riding. In this article, I argue that this represents a fundamental misapplication of the economic theory of property. The economics of property is concerned with internalizing negative externalities - harms that one person's use of land does to another's interest to it, as in the familiar tragedy of the commons. But the externalities in intellectual property are positive, not negative, and property theory offers little or no justification for internalizing positive externalities. Indeed, doing so is at odds with the logic and functioning of the market. From this core insight, I proceed to explain why free riding is desirable in intellectual property cases except in limited circumstances where curbing it is necessary to encourage creativity. I explain why economic theory demonstrates that too much protection is just as bad as not enough protection, and therefore why intellectual property law must search for balance, not free riders.  Finally, I consider whether we would be better served by another metaphor than the misused notion of intellectual property as a form of tangible property. ",,https://ssrn.com/abstract=982977http://dx.doi.org/10.2139/ssrn.582602 ,https://www.ssrn.com/index.cfm/en/Announcements-Jobs/,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=982977,Intellectual Property: Other eJournal,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1649867,,304,116,4,12,6
Illegal Defense: The Irrational Economics of Banning High School Players from the NBA Draft,87 Pages,Posted: 25 Jul 2004,Michael McCann,"
		
		
			
		
		

		
		
		
		
	
		
		
	",University of New Hampshire School of Law,3540.0,42279.0,3609.0,"
		
			McCann,  Michael A., Illegal Defense: The Irrational Economics of Banning High School Players from the NBA Draft.  Available at SSRN: 
		
	",148.0,"Each year, the National Basketball Association (NBA) conducts its annual entry draft (NBA Draft), which is the exclusive process by which premiere amateur players gain entrance into the NBA.  To the dismay of many commentators, a number of drafted players will have just completed their senior year of high school.  Routinely, these players are dismissed as immature, unprepared, and ill-advised, even though most will sign guaranteed, multi-million dollar contracts before their college educations would have begun.      
In stark contrast to popular myth, this Article finds that players drafted straight out of high school are not only likely to do well in the NBA, but are likely to become better players than any other age group entering the league.  In fact, on average, these players perform better in every major statistical category than does the average NBA player or the average NBA player of any age cohort.  Beyond excellence in performance, high school players can also earn substantially more over the course of their NBA careers, largely due to the brief, but steep career earnings-curve of professional basketball players, as well as collectively-bargained labor conditions concerning free agency.  Strikingly, players who bypass college may earn as much as $100 million more over the course of their careers than had they earned a college diploma.      
These results may appear surprising and even unpopular, but they only represent predictable outcomes of the NBA's economic system, which, perhaps unintentionally, provides unambiguous incentives for premiere high school players to seek entrance into the NBA as soon as possible.  In turn, since those players are often the most talented, they tend to develop at a uniquely accelerated rate, and thus their earlier arrival and longer stay ultimately benefits the NBA.  At the same time, those high school players better off attending college tend to do so because of contrasting incentives generated by this same economic system.  In short, high school players have proven to be the best group of players entering the NBA because the NBA's economic system dictates that very outcome.    
Despite the systematically-predictable success of high school players in the NBA, league executives and myriad social commentators desire to ban them.  As a result, this Article explores whether federal labor law and antitrust law might preclude the NBA from imposing such a ban.  Related discussion analyzes the two most likely forms of employment preclusion: a collectively bargained ban or a unilaterally imposed ban    
First, should the NBA and the National Basketball Players' Association (NBPA) agree to a provision banning high school players from the NBA Draft, a court may defer to their collective bargaining, even though high school players would not have had a seat at the negotiating table when such a rule was created.  Although the NBA and the NBPA have flirted with such negotiations in the past, this scenario seems unlikely, in part due to the specter of litigation, and in part due to likely allegations of hypocrisy levied against the NBPA, which, historically, has unequivocally opposed such a rule.  Moreover, pending the final outcome of former Ohio State football player Maurice Clarett's lawsuit against the National Football League (NFL) and its age prohibition, the mere ability of the NBA and NBPA - and any professional sports league and players' association - to construct such a rule would be cast in doubt.    
Even if the NFL defeats Clarett in court, and the NBPA were to accept a ban on high school players during the next collective bargaining negotiation, a group of sympathetic and, more importantly, influential NBPA members could seek to decertify the union.  Decertification would require a majority vote of NBPA members.  Provided a majority of NBPA members agree to decertify, the NBPA would lose its collective bargaining power, thus rendering the ban ineffectual.     
Should the NBA unilaterally impose the ban, however, the analysis turns to antitrust law.  Despite recent judicial trends to apply the flexible rule of reason analysis to group boycotts, courts have remained generally consistent in applying the more stringent per se analysis to boycotts where the boycotting group serves as the only option for potential buyers or sellers.  In the context of the NBA, high school players, like all potential draft picks, are the sellers since they are selling their talents to NBA teams, the buyers.  Because there is no substitute equivalence to the NBA, boycotted players would not be able to secure comparable employment.  In this scenario, therefore, high school players would have an excellent opportunity to characterize the ban as a group boycott.    
A less predictable scenario would occur if a court employs rule of reason analysis or quasi-rule of reason analysis.  In those instances, a judicial balancing of procompetitive and anticompetitive effects would weigh a number of factors, including how a ban fails to provide procedural safeguards, how the NBA dominates global basketball, and how high school players comprise only 4 percent of all NBA players.  Because antitrust law has generally been confined to instances where large segments of buyers or sellers have been boycotted, the dearth of high school players may prove significant.  On the other hand, a blanket prohibition on high school players would fail to provide procedural safeguards, thus potentially animating a court to find it in violation of antitrust law. ",,https://ssrn.com/abstract=567745,Delivery.cfm/SSRN_ID601561_code386163.pdf?abstractid=567745&mirid=1,Delivery.cfm/SSRN_ID601561_code386163.pdf?abstractid=567745&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=567745,Mississippi College School of Law Legal Studies Research Paper Series,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1086794,,12,71,4,0,24
Enron: Corporate Fiascos and Their Implications (Acknowledgements & Introduction),6 Pages,Posted: 12 Jan 2007,Nancy B. RapoportBala G. DharanChristopher J. NapierGarry D. CarnegieLisa EvansIan A.m. Fraser,"
		
		
			
		
		

		
		
		
		
	 Enron, corporate governance, corporate malfeasance G30, K00, K10, K20, K22, L10, l20, l90, M10, M14, 
		
		
	","University of Nevada, Las Vegas, William S. Boyd School of LawHarvard Law School; Berkeley Research Group LLC; Rice University",256.0,1843.0,146642.0,"
		
			Rapoport,  Nancy B. and Dharan,  Bala G., Enron: Corporate Fiascos and Their Implications (Acknowledgements & Introduction). ENRON: CORPORATE FIASCOS AND THEIR IMPLICATIONS, p. 9, Foundation Press 2004,  Available at SSRN: 
		
	",,"This short introduction to the book, Enron: Corporate Fiascos and Their Implications (2004), is designed to walk the reader through the organization of the entire book. The book itself is designed for use by law schools, business schools, and undergraduates. "," Enron, corporate governance, corporate malfeasance",https://ssrn.com/abstract=956672,Delivery.cfm/SSRN_ID956672_code260022.pdf?abstractid=956672&mirid=1,Delivery.cfm/SSRN_ID956672_code260022.pdf?abstractid=956672&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=956672,Corporate Law: Corporate & Financial Law: Interdisciplinary Approaches eJournal,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=728843," G30, K00, K10, K20, K22, L10, l20, l90, M10, M14, ",12,9,4,0,0
Deal or No Deal? Decision Making under Risk in a Large-Payoff Game Show,50 Pages,Posted: 16 Dec 2004,Thierry PostMartijn J. van den AssemGuido BaltussenRichard H. ThalerNicolas De RoosYianis SarafidisPavlo R. BlavatskyyGanna PogrebnaPavlo R. BlavatskyyGanna PogrebnaCary A. DeckJungmin LeeGuido BaltussenThierry PostPavlo R. BlavatskyyGanna PogrebnaGanna PogrebnaPavlo R. BlavatskyyGanna PogrebnaRobert D. BrooksRobert W. Faff,"
		
		
			
		
		

		
		
			
		
		
	Date Written: February 20, 2012 Decision making under risk, Expected utility theory, Prospect theory D81
		
		
	",Graduate School of Business of Nazarbayev UniversityVrije Universiteit AmsterdamErasmus University Rotterdam (EUR); Robeco Quantitative InvestmentsUniversity of Chicago - Booth School of Business; National Bureau of Economic Research (NBER),20074.0,107018.0,147.0,"
		
			Post,  Thierry and van den Assem,  Martijn J. and Baltussen,  Guido and Thaler,  Richard H., Deal or No Deal? Decision Making under Risk in a Large-Payoff Game Show (February 20, 2012). American Economic Review, Vol. 98, No. 1, pp. 38-71, March 2008,  Available at SSRN: 
		
	",29.0,"We examine the risky choices of contestants in the popular TV game show ""Deal or No Deal"" and related classroom experiments. Contrary to the traditional view of expected utility theory, the choices can be explained in large part by previous outcomes experienced during the game. Risk aversion decreases after earlier expectations have been shattered by unfavorable outcomes or surpassed by favorable outcomes. Our results point to reference-dependent choice theories such as prospect theory, and suggest that path-dependence is relevant, even when the choice problems are simple and well-defined, and when large real monetary amounts are at stake. "," Decision making under risk, Expected utility theory, Prospect theory",https://ssrn.com/abstract=636508,Delivery.cfm/SSRN_ID2008452_code105718.pdf?abstractid=636508&mirid=1,Delivery.cfm/SSRN_ID2008452_code105718.pdf?abstractid=636508&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=636508,"Behavioral & Experimental Finance eJournal,Behavioral & Experimental Economics eJournal,Entrepreneurship & the Social Sciences eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1504395,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1504263,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=870522", D81,112,333,4,0,11
